PLAYER_ID,NAME,AGE,TEAM,FGA,3PA,3P_PCT,SEASON,SHOT_FREQUENCY_PCT,TEAM_ID,LEFT_CORNER_3_FGM,LEFT_CORNER_3_FGA,LEFT_CORNER_3_PCT,RIGHT_CORNER_3_FGM,RIGHT_CORNER_3_FGA,RIGHT_CORNER_3_PCT,ABOVE_THE_BREAK_3_FGM,ABOVE_THE_BREAK_3_FGA,ABOVE_BREAK_3_PCT,CORNER_3_FGM,CORNER_3_FGA,CORNER_3_PCT,SEASON_START,TARGET_3P_PCT,TARGET_SEASON
2546,Carmelo Anthony,32.0,NYK,1307,310,0.339,2015-16,0.2371843917368018,1610612752,8.0,18.0,0.444,5.0,16.0,0.313,92.0,275.0,0.335,13.0,34.0,0.382,2015,0.359,2016-17
2546,Carmelo Anthony,33.0,NYK,1389,421,0.359,2016-17,0.3030957523398128,1610612752,9.0,25.0,0.36,11.0,22.0,0.5,131.0,367.0,0.357,20.0,47.0,0.426,2016,0.357,2017-18
2546,Carmelo Anthony,34.0,OKC,1168,474,0.357,2017-18,0.4058219178082192,1610612760,5.0,21.0,0.238,14.0,35.0,0.4,150.0,419.0,0.358,19.0,56.0,0.339,2017,0.328,2018-19
2546,Carmelo Anthony,35.0,HOU,121,64,0.328,2018-19,0.5289256198347108,1610612745,0.0,1.0,0.0,1.0,2.0,0.5,20.0,61.0,0.328,1.0,3.0,0.333,2018,0.385,2019-20
2546,Carmelo Anthony,36.0,POR,782,226,0.385,2019-20,0.289002557544757,1610612757,5.0,14.0,0.357,22.0,35.0,0.629,60.0,175.0,0.343,27.0,49.0,0.551,2019,0.409,2020-21
2546,Carmelo Anthony,37.0,POR,777,325,0.409,2020-21,0.4182754182754182,1610612757,14.0,35.0,0.4,15.0,36.0,0.417,104.0,254.0,0.409,29.0,71.0,0.408,2020,0.375,2021-22
2547,Chris Bosh,31.0,MIA,745,168,0.375,2014-15,0.2255033557046979,1610612748,2.0,7.0,0.286,5.0,13.0,0.385,56.0,148.0,0.378,7.0,20.0,0.35,2014,0.365,2015-16
2548,Dwyane Wade,33.0,MIA,1084,102,0.284,2014-15,0.0940959409594096,1610612748,5.0,13.0,0.385,1.0,5.0,0.2,23.0,83.0,0.277,6.0,18.0,0.333,2014,0.159,2015-16
2548,Dwyane Wade,34.0,MIA,1183,44,0.159,2015-16,0.0371935756551141,1610612748,0.0,4.0,0.0,2.0,3.0,0.667,4.0,34.0,0.118,2.0,7.0,0.286,2015,0.31,2016-17
2548,Dwyane Wade,35.0,CHI,955,145,0.31,2016-17,0.1518324607329843,1610612741,7.0,15.0,0.467,4.0,9.0,0.444,34.0,120.0,0.283,11.0,24.0,0.458,2016,0.288,2017-18
2548,Dwyane Wade,36.0,MIA,682,111,0.288,2017-18,0.1627565982404692,1610612748,5.0,19.0,0.263,2.0,6.0,0.333,25.0,86.0,0.291,7.0,25.0,0.28,2017,0.33,2018-19
2549,Chris Kaman,33.0,POR,549,0,0.0,2014-15,0.0,1610612757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,0.25,2015-16
2550,Kirk Hinrich,34.0,CHI,381,168,0.345,2014-15,0.4409448818897638,1610612741,13.0,38.0,0.342,12.0,27.0,0.444,34.0,103.0,0.33,25.0,65.0,0.385,2014,0.387,2015-16
2555,Nick Collison,34.0,OKC,253,60,0.267,2014-15,0.2371541501976284,1610612760,6.0,18.0,0.333,4.0,16.0,0.25,6.0,26.0,0.231,10.0,34.0,0.294,2014,0.0,2015-16
2555,Nick Collison,35.0,OKC,109,2,0.0,2015-16,0.018348623853211,1610612760,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2015,0.0,2016-17
2555,Nick Collison,36.0,OKC,23,1,0.0,2016-17,0.0434782608695652,1610612760,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2016,0.0,2017-18
2561,David West,34.0,IND,686,20,0.2,2014-15,0.0291545189504373,1610612754,1.0,2.0,0.5,0.0,1.0,0.0,3.0,17.0,0.176,1.0,3.0,0.333,2014,0.429,2015-16
2561,David West,35.0,SAS,448,7,0.429,2015-16,0.015625,1610612759,0.0,1.0,0.0,0.0,0.0,0.0,3.0,6.0,0.5,0.0,1.0,0.0,2015,0.375,2016-17
2561,David West,36.0,GSW,252,8,0.375,2016-17,0.0317460317460317,1610612744,1.0,2.0,0.5,0.0,0.0,0.0,2.0,5.0,0.4,1.0,2.0,0.5,2016,0.375,2017-18
2563,Dahntay Jones,34.0,LAC,21,4,0.0,2014-15,0.1904761904761904,1610612746,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2014,0.5,2015-16
2563,Dahntay Jones,35.0,CLE,14,2,0.5,2015-16,0.1428571428571428,1610612739,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,2015,0.0,2016-17
2564,Boris Diaw,33.0,SAS,632,169,0.32,2014-15,0.2674050632911392,1610612759,2.0,8.0,0.25,1.0,12.0,0.083,51.0,148.0,0.345,3.0,20.0,0.15,2014,0.362,2015-16
2564,Boris Diaw,34.0,SAS,383,69,0.362,2015-16,0.1801566579634465,1610612759,0.0,0.0,0.0,1.0,5.0,0.2,24.0,63.0,0.381,1.0,5.0,0.2,2015,0.247,2016-17
2570,Kendrick Perkins,30.0,CLE,227,1,0.0,2014-15,0.0044052863436123,1610612739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,0.0,2015-16
2571,Leandro Barbosa,32.0,GSW,386,112,0.384,2014-15,0.2901554404145077,1610612744,5.0,13.0,0.385,9.0,18.0,0.5,29.0,80.0,0.363,14.0,31.0,0.452,2014,0.355,2015-16
2571,Leandro Barbosa,33.0,GSW,370,110,0.355,2015-16,0.2972972972972973,1610612744,12.0,28.0,0.429,5.0,7.0,0.714,22.0,74.0,0.297,17.0,35.0,0.486,2015,0.357,2016-17
2581,Steve Blake,35.0,POR,327,219,0.352,2014-15,0.6697247706422018,1610612757,15.0,35.0,0.429,14.0,29.0,0.483,47.0,146.0,0.322,29.0,64.0,0.453,2014,0.344,2015-16
2585,Zaza Pachulia,31.0,MIL,529,3,0.0,2014-15,0.0056710775047258,1610612749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2014,0.0,2015-16
2585,Zaza Pachulia,32.0,DAL,470,3,0.0,2015-16,0.0063829787234042,1610612742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015,0.0,2016-17
2585,Zaza Pachulia,33.0,GSW,307,2,0.0,2016-17,0.006514657980456,1610612744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2016,0.0,2017-18
2585,Zaza Pachulia,34.0,GSW,264,1,0.0,2017-18,0.0037878787878787,1610612744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,0.0,2018-19
2588,Matt Bonner,35.0,SAS,230,126,0.365,2014-15,0.5478260869565217,1610612759,3.0,7.0,0.429,4.0,13.0,0.308,39.0,105.0,0.371,7.0,20.0,0.35,2014,0.441,2015-16
2590,Mo Williams,32.0,CHA,860,348,0.342,2014-15,0.4046511627906977,1610612766,5.0,11.0,0.455,5.0,18.0,0.278,109.0,314.0,0.347,10.0,29.0,0.345,2014,0.353,2015-16
2592,James Jones,34.0,CLE,201,175,0.36,2014-15,0.8706467661691543,1610612739,12.0,38.0,0.316,7.0,23.0,0.304,44.0,114.0,0.386,19.0,61.0,0.311,2014,0.394,2015-16
2592,James Jones,35.0,CLE,142,104,0.394,2015-16,0.7323943661971831,1610612739,7.0,15.0,0.467,4.0,8.0,0.5,30.0,81.0,0.37,11.0,23.0,0.478,2015,0.47,2016-17
2594,Kyle Korver,34.0,ATL,600,449,0.492,2014-15,0.7483333333333333,1610612737,28.0,56.0,0.5,33.0,58.0,0.569,160.0,335.0,0.478,61.0,114.0,0.535,2014,0.398,2015-16
2594,Kyle Korver,35.0,ATL,617,397,0.398,2015-16,0.6434359805510534,1610612737,18.0,42.0,0.429,24.0,49.0,0.49,116.0,307.0,0.378,42.0,91.0,0.462,2015,0.451,2016-17
2594,Kyle Korver,36.0,CLE,515,359,0.451,2016-17,0.6970873786407767,1610612739,32.0,54.0,0.593,21.0,47.0,0.447,109.0,258.0,0.422,53.0,101.0,0.525,2016,0.436,2017-18
